model,Ts_lim_C,Pch_torr,t_dry_h,Tp_max_C,rate_mean_g_h
conduction,-35.000,0.0500,54.4300,-40.274,0.06301
conduction,-30.000,0.0500,35.7900,-38.217,0.09583
conduction,-25.000,0.0500,26.3700,-36.393,0.13007
conduction,-20.000,0.0500,20.7500,-34.763,0.16535
conduction,-15.000,0.0500,17.0400,-33.295,0.20132
conduction,-10.000,0.0500,14.4300,-31.963,0.23770
conduction,-5.000,0.0500,12.5100,-30.746,0.27423
conduction,0.000,0.0500,11.0400,-29.627,0.31068
conduction,5.000,0.0500,9.8900,-28.591,0.34685
conduction,10.000,0.0500,8.9700,-27.628,0.38256
conduction,-35.000,0.0917,81.4900,-37.950,0.04209
conduction,-30.000,0.0917,41.3900,-35.940,0.08286
conduction,-25.000,0.0917,27.4200,-34.150,0.12510
conduction,-20.000,0.0917,20.3800,-32.546,0.16834
conduction,-15.000,0.0917,16.1700,-31.096,0.21221
conduction,-10.000,0.0917,13.3800,-29.777,0.25635
conduction,-5.000,0.0917,11.4200,-28.567,0.30044
conduction,0.000,0.0917,9.9700,-27.452,0.34421
conduction,5.000,0.0917,8.8600,-26.419,0.38742
conduction,10.000,0.0917,7.9800,-25.458,0.42984
conduction,-35.000,0.1333,178.1600,-36.199,0.01925
conduction,-30.000,0.1333,51.5100,-34.238,0.06659
conduction,-25.000,0.1333,29.7300,-32.487,0.11537
conduction,-20.000,0.1333,20.7800,-30.911,0.16510
conduction,-15.000,0.1333,15.9300,-29.484,0.21534
conduction,-10.000,0.1333,12.9100,-28.182,0.26571
conduction,-5.000,0.1333,10.8600,-26.986,0.31582
conduction,0.000,0.1333,9.3900,-25.880,0.36538
conduction,5.000,0.1333,8.2900,-24.853,0.41410
conduction,10.000,0.1333,7.4300,-23.897,0.46172
conduction,-35.000,0.1750,200.0000,-35.000,0.00000
conduction,-30.000,0.1750,70.2800,-32.853,0.04880
conduction,-25.000,0.1750,33.2600,-31.142,0.10313
conduction,-20.000,0.1750,21.6700,-29.600,0.15833
conduction,-15.000,0.1750,16.0400,-28.198,0.21391
conduction,-10.000,0.1750,12.7300,-26.917,0.26946
conduction,-5.000,0.1750,10.5700,-25.737,0.32456
conduction,0.000,0.1750,9.0600,-24.644,0.37888
conduction,5.000,0.1750,7.9400,-23.629,0.43210
conduction,10.000,0.1750,7.0900,-22.679,0.48393
conduction,-35.000,0.2167,200.0000,-35.000,0.00000
conduction,-30.000,0.2167,112.8500,-31.667,0.03039
conduction,-25.000,0.2167,38.3200,-29.999,0.08952
conduction,-20.000,0.2167,22.9600,-28.491,0.14942
conduction,-15.000,0.2167,16.3700,-27.118,0.20958
conduction,-10.000,0.2167,12.7300,-25.859,0.26954
conduction,-5.000,0.2167,10.4300,-24.698,0.32888
conduction,0.000,0.2167,8.8600,-23.621,0.38721
conduction,5.000,0.2167,7.7300,-22.617,0.44421
conduction,10.000,0.2167,6.8700,-21.678,0.49955
conduction,-35.000,0.2583,200.0000,-35.000,0.00000
conduction,-30.000,0.2583,200.0000,-30.649,0.01216
conduction,-25.000,0.2583,45.6100,-28.995,0.07520
conduction,-20.000,0.2583,24.6400,-27.523,0.13922
conduction,-15.000,0.2583,16.8700,-26.178,0.20337
conduction,-10.000,0.2583,12.8400,-24.944,0.26716
conduction,-5.000,0.2583,10.3900,-23.803,0.33015
conduction,0.000,0.2583,8.7600,-22.742,0.39195
conduction,5.000,0.2583,7.5900,-21.753,0.45217
conduction,10.000,0.2583,6.7200,-20.826,0.51050
conduction,-35.000,0.3000,200.0000,-35.000,0.00000
conduction,-30.000,0.3000,200.0000,-30.000,0.00000
conduction,-25.000,0.3000,56.6200,-28.092,0.06057
conduction,-20.000,0.3000,26.7500,-26.655,0.12823
conduction,-15.000,0.3000,17.5100,-25.341,0.19591
conduction,-10.000,0.3000,13.0400,-24.131,0.26308
conduction,-5.000,0.3000,10.4200,-23.011,0.32929
conduction,0.000,0.3000,8.7100,-21.968,0.39411
conduction,5.000,0.3000,7.5100,-20.994,0.45716
conduction,10.000,0.3000,6.6200,-20.079,0.51807
