model,Ts_lim_C,Pch_torr,t_dry_h,Tp_max_C,rate_mean_g_h
quasi_equilibrium,-35.000,0.0500,54.4500,-40.274,0.06299
quasi_equilibrium,-30.000,0.0500,35.7800,-38.217,0.09586
quasi_equilibrium,-25.000,0.0500,26.3500,-36.393,0.13019
quasi_equilibrium,-20.000,0.0500,20.7200,-34.763,0.16558
quasi_equilibrium,-15.000,0.0500,17.0100,-33.294,0.20171
quasi_equilibrium,-10.000,0.0500,14.4000,-31.962,0.23828
quasi_equilibrium,-5.000,0.0500,12.4800,-30.744,0.27501
quasi_equilibrium,0.000,0.0500,11.0100,-29.625,0.31169
quasi_equilibrium,5.000,0.0500,9.8600,-28.590,0.34810
quasi_equilibrium,10.000,0.0500,8.9300,-27.629,0.38407
quasi_equilibrium,-35.000,0.0917,81.4400,-37.950,0.04211
quasi_equilibrium,-30.000,0.0917,41.3400,-35.940,0.08296
quasi_equilibrium,-25.000,0.0917,27.3700,-34.150,0.12532
quasi_equilibrium,-20.000,0.0917,20.3300,-32.546,0.16874
quasi_equilibrium,-15.000,0.0917,16.1200,-31.096,0.21281
quasi_equilibrium,-10.000,0.0917,13.3400,-29.777,0.25718
quasi_equilibrium,-5.000,0.0917,11.3800,-28.567,0.30153
quasi_equilibrium,0.000,0.0917,9.9300,-27.452,0.34558
quasi_equilibrium,5.000,0.0917,8.8200,-26.419,0.38908
quasi_equilibrium,10.000,0.0917,7.9500,-25.457,0.43180
quasi_equilibrium,-35.000,0.1333,177.9700,-36.199,0.01927
quasi_equilibrium,-30.000,0.1333,51.4200,-34.238,0.06670
quasi_equilibrium,-25.000,0.1333,29.6600,-32.487,0.11563
quasi_equilibrium,-20.000,0.1333,20.7200,-30.912,0.16556
quasi_equilibrium,-15.000,0.1333,15.8800,-29.484,0.21603
quasi_equilibrium,-10.000,0.1333,12.8700,-28.181,0.26665
quasi_equilibrium,-5.000,0.1333,10.8200,-26.985,0.31707
quasi_equilibrium,0.000,0.1333,9.3500,-25.880,0.36694
quasi_equilibrium,5.000,0.1333,8.2500,-24.854,0.41597
quasi_equilibrium,10.000,0.1333,7.4000,-23.896,0.46392
quasi_equilibrium,-35.000,0.1750,200.0000,-34.602,0.00000
quasi_equilibrium,-30.000,0.1750,70.1500,-32.853,0.04889
quasi_equilibrium,-25.000,0.1750,33.1800,-31.142,0.10337
quasi_equilibrium,-20.000,0.1750,21.6000,-29.600,0.15878
quasi_equilibrium,-15.000,0.1750,15.9900,-28.198,0.21460
quasi_equilibrium,-10.000,0.1750,12.6900,-26.916,0.27042
quasi_equilibrium,-5.000,0.1750,10.5300,-25.736,0.32582
quasi_equilibrium,0.000,0.1750,9.0200,-24.644,0.38046
quasi_equilibrium,5.000,0.1750,7.9100,-23.628,0.43401
quasi_equilibrium,10.000,0.1750,7.0600,-22.679,0.48617
quasi_equilibrium,-35.000,0.2167,200.0000,-32.609,0.00000
quasi_equilibrium,-30.000,0.2167,112.6600,-31.667,0.03044
quasi_equilibrium,-25.000,0.2167,38.2200,-29.999,0.08973
quasi_equilibrium,-20.000,0.2167,22.8900,-28.492,0.14984
quasi_equilibrium,-15.000,0.2167,16.3200,-27.118,0.21024
quasi_equilibrium,-10.000,0.2167,12.6800,-25.859,0.27048
quasi_equilibrium,-5.000,0.2167,10.3900,-24.698,0.33011
quasi_equilibrium,0.000,0.2167,8.8300,-23.621,0.38876
quasi_equilibrium,5.000,0.2167,7.6900,-22.618,0.44607
quasi_equilibrium,10.000,0.2167,6.8400,-21.678,0.50176
quasi_equilibrium,-35.000,0.2583,200.0000,-30.943,0.00000
quasi_equilibrium,-30.000,0.2583,200.0000,-30.649,0.01218
quasi_equilibrium,-25.000,0.2583,45.5100,-28.995,0.07537
quasi_equilibrium,-20.000,0.2583,24.5700,-27.523,0.13959
quasi_equilibrium,-15.000,0.2583,16.8200,-26.178,0.20398
quasi_equilibrium,-10.000,0.2583,12.8000,-24.944,0.26805
quasi_equilibrium,-5.000,0.2583,10.3600,-23.802,0.33134
quasi_equilibrium,0.000,0.2583,8.7200,-22.743,0.39344
quasi_equilibrium,5.000,0.2583,7.5600,-21.753,0.45399
quasi_equilibrium,10.000,0.2583,6.6900,-20.826,0.51264
quasi_equilibrium,-35.000,0.3000,200.0000,-29.509,0.00000
quasi_equilibrium,-30.000,0.3000,200.0000,-29.509,0.00000
quasi_equilibrium,-25.000,0.3000,56.5000,-28.092,0.06071
quasi_equilibrium,-20.000,0.3000,26.6800,-26.655,0.12857
quasi_equilibrium,-15.000,0.3000,17.4600,-25.341,0.19648
quasi_equilibrium,-10.000,0.3000,13.0000,-24.131,0.26393
quasi_equilibrium,-5.000,0.3000,10.3800,-23.011,0.33042
quasi_equilibrium,0.000,0.3000,8.6800,-21.968,0.39555
quasi_equilibrium,5.000,0.3000,7.4800,-20.994,0.45892
quasi_equilibrium,10.000,0.3000,6.6000,-20.079,0.52019
